,sentiment_textblob_movie
1286,Negative
1287,Positive
1288,Positive
1289,Positive
1290,Negative
1291,Positive
1292,Positive
1293,Positive
1294,Positive
1295,Negative
1296,Positive
1297,Positive
1298,Negative
1299,Negative
1300,Positive
1301,Negative
1302,Positive
1303,Positive
1304,Negative
1305,Positive
1306,Negative
1307,Positive
1308,Positive
1309,Positive
1310,Positive
1311,Negative
1312,Positive
1313,Positive
1314,Positive
1315,Negative
1316,Positive
1317,Negative
1318,Negative
1319,Positive
1320,Positive
1321,Positive
1322,Positive
1323,Positive
1324,Negative
1325,Positive
1326,Negative
1327,Positive
1328,Positive
1329,Positive
1330,Positive
1331,Positive
1332,Negative
1333,Positive
1334,Negative
1335,Positive
1336,Negative
1337,Positive
1338,Positive
1339,Positive
1340,Positive
1341,Positive
1342,Positive
1343,Negative
1344,Positive
1345,Positive
1346,Negative
1347,Positive
1348,Negative
1349,Positive
1350,Positive
1351,Negative
1352,Negative
1353,Negative
1354,Positive
1355,Positive
1356,Positive
1357,Negative
1358,Negative
1359,Negative
1360,Negative
1361,Positive
1362,Positive
1363,Positive
1364,Negative
1365,Positive
1366,Positive
1367,Positive
1368,Positive
1369,Negative
1370,Positive
1371,Positive
1372,Negative
1373,Positive
1374,Positive
1375,Positive
1376,Positive
1377,Positive
1378,Positive
1379,Positive
1380,Positive
1381,Positive
1382,Positive
1383,Positive
1384,Positive
1385,Positive
1386,Negative
1387,Positive
1388,Negative
1389,Positive
1390,Negative
1391,Positive
1392,Positive
1393,Negative
1394,Positive
1395,Positive
1396,Positive
1397,Positive
1398,Negative
1399,Negative
1400,Positive
1401,Negative
1402,Positive
1403,Negative
1404,Negative
1405,Positive
1406,Positive
1407,Negative
1408,Negative
1409,Positive
1410,Positive
1411,Negative
1412,Positive
1413,Positive
1414,Positive
1415,Positive
1416,Negative
1417,Positive
1418,Positive
1419,Positive
1420,Positive
1421,Negative
1422,Positive
1423,Negative
1424,Positive
1425,Positive
1426,Negative
1427,Negative
1428,Positive
1429,Negative
1430,Negative
1431,Positive
1432,Positive
1433,Positive
1434,Positive
1435,Negative
1436,Positive
1437,Positive
1438,Negative
1439,Positive
1440,Positive
1441,Negative
1442,Negative
1443,Positive
1444,Negative
1445,Positive
1446,Negative
1447,Positive
1448,Positive
1449,Positive
1450,Positive
1451,Positive
1452,Positive
1453,Positive
1454,Positive
1455,Negative
1456,Negative
1457,Negative
1458,Positive
1459,Positive
1460,Negative
1461,Positive
1462,Positive
1463,Positive
1464,Positive
1465,Positive
1466,Negative
1467,Positive
1468,Negative
1469,Positive
1470,Positive
1471,Positive
1472,Positive
1473,Positive
1474,Positive
1475,Positive
1476,Positive
1477,Positive
1478,Positive
1479,Negative
1480,Positive
1481,Positive
1482,Positive
1483,Positive
1484,Positive
1485,Negative
1486,Positive
1487,Negative
1488,Negative
1489,Positive
1490,Negative
1491,Negative
1492,Negative
1493,Positive
1494,Negative
1495,Negative
1496,Positive
1497,Negative
1498,Positive
1499,Negative
1500,Positive
1501,Positive
1502,Positive
1503,Positive
1504,Positive
1505,Positive
1506,Positive
1507,Positive
1508,Positive
1509,Positive
1510,Negative
1511,Positive
1512,Negative
1513,Negative
1514,Positive
1515,Positive
1516,Negative
1517,Positive
1518,Negative
1519,Negative
1520,Negative
1521,Positive
1522,Negative
1523,Positive
1524,Negative
1525,Positive
1526,Positive
1527,Positive
1528,Negative
1529,Negative
1530,Positive
1531,Positive
1532,Negative
1533,Negative
1534,Positive
1535,Positive
1536,Positive
1537,Positive
1538,Positive
1539,Positive
1540,Positive
1541,Negative
1542,Positive
1543,Positive
1544,Positive
1545,Negative
1546,Positive
1547,Positive
1548,Negative
1549,Negative
1550,Positive
1551,Positive
1552,Negative
1553,Positive
1554,Negative
1555,Positive
1556,Positive
1557,Negative
1558,Positive
1559,Positive
1560,Negative
1561,Positive
1562,Negative
1563,Positive
1564,Positive
1565,Negative
1566,Positive
1567,Positive
1568,Negative
1569,Positive
1570,Positive
1571,Positive
1572,Positive
1573,Positive
1574,Negative
1575,Negative
1576,Positive
1577,Positive
1578,Positive
1579,Positive
1580,Negative
1581,Positive
1582,Negative
1583,Positive
1584,Negative
1585,Negative
1586,Positive
1587,Positive
1588,Negative
1589,Positive
1590,Positive
1591,Positive
1592,Positive
1593,Negative
1594,Positive
1595,Positive
1596,Positive
1597,Positive
1598,Positive
1599,Positive
1600,Positive
1601,Negative
1602,Negative
1603,Negative
1604,Negative
1605,Negative
1606,Negative
1607,Positive
1608,Negative
1609,Negative
1610,Negative
1611,Negative
1612,Positive
1613,Positive
1614,Negative
1615,Positive
1616,Positive
1617,Positive
