Date,score
2019-04-08,-0.038129309867563875
2019-04-09,-0.0026017285971317397
2019-04-10,-0.02229608344932447
2019-04-11,0.015504539527159836
2019-04-12,-0.0035561911572336014
2019-04-13,-0.02703239820775749
2019-04-14,-0.01822617807173299
2019-04-15,-0.010045127346708779
2019-04-16,-0.014001627165253883
2019-04-17,-0.015573821567659444
2019-04-18,-0.019174612029627853
2019-04-19,-0.008248728873568497
2019-04-20,-0.02683746590376827
2019-04-21,-0.01358507181395141
2019-04-22,-0.006215208962810581
2019-04-23,-0.012643492497586228
2019-04-24,-0.015309344457613302
2019-04-25,-0.01923557603076853
2019-04-26,-0.012343727386874911
2019-04-27,-0.008382308882690648
2019-04-28,-0.006664625321836056
2019-04-29,0.024717247098167545
2019-04-30,-0.020629020282994515
2019-05-01,-0.008189441492558033
2019-05-02,-0.0022015939583406676
2019-05-03,-0.014305277749031934
2019-05-04,-0.022164564756751992
2019-05-05,3.493881805512652e-05
2019-05-06,-0.006384706556295787
2019-05-07,-0.017614856616431585
2019-05-08,-0.007244479800002386
2019-05-09,-0.001630116042804756
2019-05-10,-0.012855739435151836
2019-05-11,-0.015062582198102784
2019-05-12,-0.00958399656243325
2019-05-13,0.007005379272571684
2019-05-14,-0.022968624999270548
2019-05-15,-0.006002093744864416
2019-05-16,-0.005724962959726465
2019-05-17,-0.005462292140309392
2019-05-18,-0.014718460756746802
2019-05-19,-0.024422342483489106
2019-05-20,-0.017537814294475356
2019-05-21,-0.025753608838029202
2019-05-22,-0.0022909255593449216
2019-05-23,-0.01096839042524933
2019-05-24,-0.020747187699354835
2019-05-25,0.0018837491822609371
2019-05-26,-0.021004513880043835
2019-05-27,-0.007988722248108352
2019-05-28,-0.009724350025996772
2019-05-29,-0.012785119121681085
2019-05-30,-0.005679928968128671
2019-05-31,-0.00012048645851988245
2019-06-01,-0.0026321453620822646
2019-06-02,-0.00914960978288056
2019-06-03,-0.014153460840833243
2019-06-04,-0.0017351736388809824
2019-06-05,0.004287864849252958
2019-06-06,-0.01340913885642662
2019-06-07,-0.01687054144100501
2019-06-08,-0.020822262688302968
2019-06-09,-0.021500354298367497
2019-06-10,-0.012718478127927405
2019-06-11,-0.0048493699666245504
2019-06-12,-0.012786313747441139
2019-06-13,-0.015512715954696091
2019-06-14,-0.01643491788127153
2019-06-15,-0.03502899087841086
2019-06-16,0.0043878657991747545
2019-06-17,-0.0216310089728106
2019-06-18,-0.010646618866325378
2019-06-19,-0.01478282934918492
2019-06-20,-0.015799839039872365
2019-06-21,-0.003050131365050316
2019-06-22,-0.016656083821747807
2019-06-23,-0.0007246459974404132
2019-06-24,-0.03248441099019117
2019-06-25,-0.01626269312709235
2019-06-26,-0.009009464472734763
2019-06-27,-0.014812550920282367
2019-06-28,-0.008288472947393655
2019-06-29,-0.010299499208625348
2019-06-30,-0.01264590946561169
2019-07-01,-0.0203041208486634
2019-07-02,-0.00694138756830831
2019-07-03,-0.01822126744038603
2019-07-04,-0.02415401359599038
2019-07-05,-0.018780997927589287
2019-07-06,-0.015088151259923835
2019-07-07,-0.01013506241125639
2019-07-08,-0.022283985676343782
2019-07-09,-0.007011740944734409
2019-07-10,-0.0033946380877254434
2019-07-11,-0.015228062237432524
2019-07-12,-0.028520427793058818
2019-07-13,-0.006783209796472327
2019-07-14,-0.021465149230856368
2019-07-15,-0.014698106584413173
2019-07-16,0.016584741565917754
2019-07-17,-0.00588233654083629
2019-07-18,-0.004773229776902162
2019-07-19,-0.0072010205080432765
2019-07-20,-0.005564923486206186
2019-07-21,-0.02075100552707339
2019-07-22,-0.014818998372261452
2019-07-23,-0.02345964679240853
2019-07-24,-0.018163897128008588
2019-07-25,0.0017039212228539362
2019-07-26,-0.027474520234972617
2019-07-27,-0.026187575021150433
2019-07-28,-0.009368077440774614
2019-07-29,-0.004273347510601007
2019-07-30,-0.005856722873848234
2019-07-31,-0.0087715631051265
2019-08-01,-0.004359108978874778
2019-08-02,-0.00047621542987467497
2019-08-03,-0.015589098903155777
2019-08-04,-0.012368921606074909
2019-08-05,-0.014833804961942235
2019-08-06,-0.023955041266731314
2019-08-07,-0.011195072870391823
2019-08-08,-0.013818733305297667
2019-08-09,-0.027041009169559167
2019-08-10,-0.006326863574211861
2019-08-11,-0.0014312332722007752
2019-08-12,-0.004257485281208025
2019-08-13,-0.006833466790668948
2019-08-14,0.0016374666023553086
2019-08-15,-0.009085441311003232
2019-08-16,-0.017001411717941634
2019-08-17,-0.021340925937209747
2019-08-18,0.031229731944456624
2019-08-19,-0.016575214355371126
2019-08-20,-0.004459954436134154
2019-08-21,-0.015881578138391417
2019-08-22,-0.032518097810875925
2019-08-23,0.0007357577712189256
2019-08-24,-0.017478079185787365
2019-08-25,-0.0078095971112304525
2019-08-26,-0.00968375093497209
2019-08-27,-0.02038660584465028
2019-08-28,-0.02046617230748149
2019-08-29,-0.004141290225440297
2019-08-30,-0.00817031970555652
2019-08-31,-0.01393243222751428
2019-09-01,-0.018916313272832053
2019-09-02,-0.013428939091520098
2019-09-03,-0.028306044418430282
2019-09-04,-0.004180766037095052
2019-09-05,-0.008182560332326302
2019-09-06,-0.0037730018829956746
2019-09-07,-0.02081347693305406
2019-09-08,-0.021067649633941737
2019-09-09,-0.009693284585971074
2019-09-10,-0.01128327529655789
2019-09-11,-0.01711485697642186
2019-09-12,-0.010488884814482291
2019-09-13,-0.0024861824959094467
2019-09-14,-0.023472474432126966
2019-09-15,-0.01911812954450831
2019-09-16,-0.018057738015249975
2019-09-17,-0.013073801357775472
2019-09-18,-0.0026290181746790875
2019-09-19,0.008931356408688215
2019-09-20,-0.019812484089672955
2019-09-21,-0.009401892626903052
2019-09-22,-0.003929383658918854
2019-09-23,-0.0061786307965481235
2019-09-24,-0.014827096890269361
2019-09-25,-0.00563027309851627
2019-09-26,0.0004537370416497118
2019-09-27,0.0014858299065391527
2019-09-28,-0.017708565788588076
2019-09-29,-0.009105485954970368
2019-09-30,-0.009081106516395376
2019-10-01,-0.0031468836712551518
2019-10-02,-0.002028164534430036
2019-10-03,0.007620600085305407
2019-10-04,0.0004832364348939337
2019-10-05,0.005773373202941985
2019-10-06,-0.03276703539515454
2019-10-07,0.004682106612278932
2019-10-08,-0.006119641636462021
2019-10-09,-0.010968721750100885
2019-10-10,-0.0021924321517047263
2019-10-11,-0.011080999798258606
2019-10-12,-0.029108243940536533
2019-10-13,-0.019466254659353737
2019-10-14,-0.013794137851571686
2019-10-15,-0.01369877464974826
2019-10-16,-0.00522280832111081
2019-10-17,-0.02210823900368275
2019-10-18,-0.007424568588317082
2019-10-19,-0.01778129786695985
2019-10-20,0.0031961915076726597
2019-10-21,-0.0028727784461245465
2019-10-22,-0.01371407761246124
2019-10-23,-0.009662309777763833
2019-10-24,-0.0034136845582954565
2019-10-25,-0.023764684808991927
2019-10-26,-0.031689504427977834
2019-10-27,-0.020919581403921694
2019-10-28,-0.010661615575863944
2019-10-29,-0.011204517143286222
2019-10-30,-0.009646202180332334
2019-10-31,-0.013058285423021121
2019-11-01,-0.020796785254649303
2019-11-02,-0.017713774648286346
2019-11-03,-0.02077696838727498
2019-11-04,-0.024810702285826196
2019-11-05,-0.008534334917982611
2019-11-06,-0.015309973396984033
2019-11-07,-0.0029328558645551617
2019-11-08,-0.024877897439950985
2019-11-09,-0.00252326149819182
2019-11-10,-0.024809669661827665
2019-11-11,-0.008958956211180516
2019-11-12,-0.003811558680348548
2019-11-13,-0.00063452343665793
2019-11-14,-0.007332620959913309
2019-11-15,-0.03088449049016891
2019-11-16,-0.007763311594297033
2019-11-17,-0.009570289978059568
2019-11-18,-0.007975514800833213
2019-11-19,-0.005090382347848236
2019-11-20,-0.012521772926667821
2019-11-21,-0.006798014401552477
2019-11-22,-0.011259788529636902
2019-11-23,0.0029857078273611095
2019-11-24,0.0049043859412475355
2019-11-25,0.015867198592216303
2019-11-26,-0.00023148990637604042
2019-11-27,-0.018524309736782246
2019-11-28,-0.00971712348064994
2019-11-29,-0.011395752619695757
2019-11-30,-0.012921931790490318
2019-12-01,-0.014867798193642071
2019-12-02,-0.011561411273266006
2019-12-03,-0.012006539745376207
2019-12-04,-0.008482370262036132
2019-12-05,-0.007139835320869666
2019-12-06,-0.017212339460081827
2019-12-07,-0.016573576971225263
2019-12-08,-0.012988557760478322
2019-12-09,-0.008589226819792387
2019-12-10,-0.007827518765527933
2019-12-11,-0.015694178364138296
2019-12-12,0.006948737061379329
2019-12-13,0.0076739929853277085
2019-12-14,-0.0053931131417157925
2019-12-15,-0.01932762895518377
2019-12-16,-0.013858533244836288
2019-12-17,-0.0031987342129697893
2019-12-18,-0.015084403407258437
2019-12-19,-0.005229116215018315
2019-12-20,0.000755436382851804
2019-12-21,-0.013621417362904231
2019-12-22,-0.026940509436278792
2019-12-23,0.007049570287977073
2019-12-24,-0.015539186661766013
2019-12-25,-0.008064332847279365
2019-12-26,-0.005977799971428703
2019-12-27,-0.009694956846379813
2019-12-28,-0.013231942509193295
2019-12-29,-0.01656060154970429
2019-12-30,-0.009961632597109174
2019-12-31,-0.02220668570219342
2020-01-01,-0.022642158735859508
2020-01-02,-0.002152370863571451
2020-01-03,-0.029273113328369422
2020-01-04,-0.01840470918492328
2020-01-05,0.006656362083556799
2020-01-06,-0.021414359317909987
2020-01-07,0.023027683148842775
2020-01-08,0.012592623556002066
2020-01-09,0.0002072425350829373
2020-01-10,-0.013781029214323337
2020-01-11,-0.025411481895931714
2020-01-12,-0.009527296781936792
